File,CreatedAt,SizeBytes,SizeHuman
2025-09-29_191501_loluli.tar.zst,2025-09-29 21:15:01,1242,  1.3KB
2025-09-29_191001_loluli.tar.zst,2025-09-29 21:10:02,13,    13B
2025-09-29_190501_globals.sql.zst,2025-09-29 21:05:02,456,   456B
2025-09-29_190501_loluli.list,2025-09-29 21:05:02,515,   515B
2025-09-29_190501_loluli.tar.zst,2025-09-29 21:05:01,1240,  1.3KB
2025-09-29_190001_globals.sql.zst,2025-09-29 21:00:02,457,   457B
2025-09-29_190001_loluli.list,2025-09-29 21:00:02,515,   515B
2025-09-29_190001_loluli.tar.zst,2025-09-29 21:00:02,1241,  1.3KB
2025-09-29_185501_globals.sql.zst,2025-09-29 20:55:01,458,   458B
2025-09-29_185501_loluli.list,2025-09-29 20:55:01,515,   515B
2025-09-29_185501_loluli.tar.zst,2025-09-29 20:55:01,1243,  1.3KB
